fid,adm2_name,area_sqkm,adm2_ref_name,center_lat,center_lon,buildings_broad,buildings_high,hospitals_broad,hospitals_high,population_broad,population_high,schools_broad,schools_high,roads_km_high,high_vulnerability_pop_density,high_vulnerable_pop_density
"1",Dagoretti,"24.44505771",Dagoretti,"-1.28105809","36.7121554","1850","0","0","0","14012","0","1","0","0",0,0.000
"2",Embakasi Central,"8.18237804",Embakasi Central,"-1.26961166","36.90936602","33292","6296","1","0","209970","27222","11","1","22.11",3327,0.000
"3",Embakasi East,"85.84392988",Embakasi East,"-1.3105678","36.93772427","40217","5243","9","1","481399","23412","9","1","29.94",273,0.000
"4",Embakasi North,"5.42927986",Embakasi North,"-1.24745449","36.89945166","20433","3645","5","1","95527","10463","80","24","7.38",1927,0.000
"5",Embakasi South,"17.54934931",Embakasi South,"-1.33572978","36.87388975","25611","6307","16","6","171301","13242","86","22","9.91",755,0.000
"6",Embakasi West,"9.76080445",Embakasi West,"-1.27342368","36.88551542","30423","8701","2","0","260464","46007","11","5","32.65",4713,0.000
"7",Kamukunji,"8.8374547",Kamukunji,"-1.27542116","36.85830597","8190","2247","15","3","214909","19545","152","14","6.8",2212,0.000
"8",Kasarani,"136.27420691",Kasarani,"-1.25200498","37.01355654","58170","9705","5","1","631589","43761","16","0","56.67",321,0.000
"9",Kibra,"12.33031869",Kibra,"-1.30420917","36.77970908","7466","2173","19","5","59813","8973","164","35","5.36",728,0.000
"10",Kilimani,"29.35572497",Kilimani,"-1.27685408","36.77420224","8329","1096","3","0","35209","3116","11","1","6.97",106,0.000
"11",Langata,"209.80909658",Langata,"-1.36795212","36.81427782","15932","2268","9","3","70787","6944","168","16","11.31",33,0.000
"12",Makadara,"11.99723439",Makadara,"-1.29457182","36.86337877","10464","535","4","0","184899","9334","32","1","5.81",778,0.000
"13",Mathare,"2.90283576",Mathare,"-1.25594747","36.87049393","4880","1212","3","1","118462","18689","203","42","3.22",6438,0.000
"14",Roysambu,"48.10435805",Roysambu,"-1.20801234","36.87854203","18264","2384","1","0","366983","23006","19","3","19.36",478,0.000
"15",Ruaraka,"7.17967253",Ruaraka,"-1.24575497","36.87807589","8559","1786","6","2","75535","6137","46","13","3.57",855,0.000
"16",Starehe,"16.83635222",Starehe,"-1.28990184","36.82862377","13455","4441","2","0","156950","13773","85","42","13.85",818,0.000
"17",Westlands,"72.70426971",Westlands,"-1.23206086","36.79537519","13174","1026","3","1","66208","3248","26","2","6.65",45,0.000
